time,cc,earfcn,pci,rsrp,pl,cfo,pci_neigh,rsrp_neigh,cfo_neigh,dl_mcs,dl_snr,dl_turbo,dl_brate,dl_bler,ul_ta,distance_km,speed_kmph,ul_mcs,ul_buff,ul_brate,ul_bler,rf_o,rf_u,rf_l,is_attached,proc_rmem,proc_rmem_kB,proc_vmem_kB,sys_mem,sys_load,thread_count,cpu_0,cpu_1,cpu_2,cpu_3,service_type
65155,0,368500,1,3.6,0,4.3e-06,0,0,0,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,67,17,18,90,90,97,94,0
66152,0,368500,1,2.9,0,-6.10E-07,0,0,0,27,79,1.3,12146.78906,0,0,0,0,27,0,90116.21094,0,0,0,0,0,11,874984,1677556,67,17,18,99,96,92,91,0
67150,0,368500,1,3.2,0,7.6e-06,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,67,18,18,100,95,91,93,0
68146,0,368500,1,3.1,0,1.4e-06,0,0,0,26,79,1.5,3788.778809,0,0,0,0,26,0,20831.68359,0,0,0,0,0,11,874984,1677556,67,17,18,89,92,92,90,0
69142,0,368500,1,3.2,0,-5.30E-07,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,67,17,18,95,98,86,95,0
70140,0,368500,1,3.2,0,4.8e-07,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,67,17,18,89,100,95,98,0
71137,0,368500,1,3.3,0,-3.30E-06,0,0,0,26,72,1.7,1796.178345,0,0,0,0,25,0,10802.54785,0,0,0,0,0,11,874984,1677556,67,16,18,93,99,87,94,0
72136,0,368500,1,3.2,0,-2.80E-07,0,0,0,0,inf,0,0,0,0,0,0,24,0,1117.647095,0,0,0,0,0,11,874984,1677556,67,17,18,94,94,94,91,0
73134,0,368500,1,3.1,0,-2.50E-06,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,67,21,18,96,100,99,95,0
74132,0,368500,1,3.5,0,-2.20E-06,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,67,16,18,99,94,83,94,0
75100,0,368500,1,3.6,0,-3.00E-08,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,67,16,18,93,94,85,99,0
76086,0,368500,1,3.2,0,-1.90E-06,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,67,19,18,100,95,89,100,0
77082,0,368500,1,3.3,0,8.3e-07,0,0,0,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,67,19,18,100,93,92,95,0
78080,0,368500,1,3,0,-3.40E-06,0,0,0,26,inf,1.5,5325,0,0,0,0,26,0,39450,0,0,0,0,0,11,874984,1677556,67,11,18,98,69,96,72,0
79013,0,368500,1,3.1,0,-2.50E-06,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,67,19,18,92,95,94,99,0
79963,0,368500,1,2.6,0,1.3e-06,0,0,0,27,69,1.7,41207.24219,0,0,0,0,26,0,116490.9453,0,0,0,0,0,11,874984,1677556,67,14,18,87,93,88,97,0
80962,0,368500,1,2.9,0,6.6e-06,0,0,0,27,inf,1.7,123517.5078,0,0,0,0,26,0,252824.9063,0,0,0,0,0,11,874984,1677556,67,17,18,92,92,82,100,0
81958,0,368500,1,2.9,0,3.9e-06,0,0,0,27,inf,1.4,62205.60938,0,0,0,0,26,0,162527.1094,0,0,0,0,0,11,874984,1677556,67,16,18,91,86,92,98,0
82957,0,368500,1,3.2,0,3.9e-06,0,0,0,27,72,1.7,71148.08594,0,0,0,0,27,0,106728.7891,0,0,0,0,0,11,874984,1677556,67,16,18,90,91,89,96,0
83960,0,368500,1,1.7,0,1.4e-06,0,0,0,27,69,1.7,2038676.375,0,0,0,0,27,659,266043.7813,0,0,0,0,0,11,874984,1677556,67,18,18,89,99,81,85,0
84923,0,368500,1,0.48,0,-9.60E-06,0,0,0,28,69,1.8,17714078,0,0,0,0,27,115,955376.625,0,0,0,0,0,11,874984,1677556,67,25,18,94,86,88,100,0
85911,0,368500,1,0.44,0,-5.00E-06,0,0,0,28,60,1.8,24444800,0,0,0,0,26,115,463350,0,0,0,0,0,11,874984,1677556,67,31,18,95,90,88,100,0
86910,0,368500,1,0.37,0,9.8e-07,0,0,0,28,69,1.8,23925576,0,0,0,0,26,171,460800,0,0,0,0,0,11,874984,1677556,67,32,18,97,92,90,100,0
87895,0,368500,1,0.088,0,-3.50E-06,0,0,0,28,71,1.9,25639346,0,0,0,0,26,283,430258.5,0,0,0,0,0,11,874984,1677556,67,30,18,99,90,85,100,0
88868,0,368500,1,0.74,0,2.7e-05,0,0,0,28,69,1.8,25482490,0,0,0,0,26,92,528105.9375,0,0,0,0,0,11,874984,1677556,67,30,18,97,90,93,100,0
89856,0,368500,1,-0.2,0,1.6e-06,0,0,0,28,69,1.8,25241600,0,0,0,0,27,552,477723.0625,0,0,0,0,0,11,874984,1677556,67,28,18,96,99,83,88,0
90848,0,368500,1,1,0,6e-06,0,0,0,28,69,1.8,25467548,0,0,0,0,26,168,700645.1875,0,0,0,0,0,11,874984,1677556,67,26,18,91,92,83,86,0
91821,0,368500,1,0.15,0,-1.40E-06,0,0,0,28,69,1.9,25467060,0,0,0,0,26,244,515758.375,0,0,0,0,0,11,874984,1677556,67,30,18,96,95,90,94,0
92819,0,368500,1,0.19,0,1.2e-05,0,0,0,28,69,1.9,25557838,0,0,0,0,26,41,608270.25,0,0,0,0,0,11,874984,1677556,67,31,18,100,94,94,94,0
93816,0,368500,1,0.67,0,1.2e-05,0,0,0,28,72,1.8,25437272,0,0,0,0,26,56,1105674.375,0,0,0,0,0,11,874984,1677556,67,27,18,100,97,95,96,0
94810,0,368500,1,-0.1,0,1.6e-05,0,0,0,28,69,1.8,25467060,0,0,0,0,27,569,675114.125,0,0,0,0,0,11,874984,1677556,67,31,18,100,100,91,95,0
95801,0,368500,1,0.74,0,1.2e-05,0,0,0,28,69,1.8,25368460,0,0,0,0,27,56,1344863.25,0,0,0,0,0,11,874984,1677556,66,29,18,100,96,95,95,0
96794,0,368500,1,0.6,0,4.8e-06,0,0,0,28,69,1.8,13767455,0,0,0,0,26,168,900590.9375,0,0,0,0,0,11,874984,1677556,66,24,18,100,91,100,96,0
97796,0,368500,1,0.17,0,5.1e-06,0,0,0,28,69,1.8,25390984,0,0,0,0,25,587,292542.375,0,0,0,0,0,11,874984,1677556,66,25,18,95,97,93,98,0
98794,0,368500,1,0.16,0,1.2e-05,0,0,0,28,69,1.8,25830666,0,0,0,0,26,0,482608.6875,0,0,0,0,0,11,874984,1677556,66,29,18,90,96,89,100,0
99787,0,368500,1,0.016,0,7e-06,0,0,0,28,69,1.8,24872268,0,0,0,0,27,207,390252.0938,0,0,0,0,0,11,874984,1677556,66,25,18,93,89,85,97,0
100784,0,368500,1,-0.21,0,1.1e-05,0,0,0,28,60,1.8,25722688,0,0,0,0,27,0,487232,0,0,0,0,0,11,874984,1677556,66,26,18,100,93,98,95,0
101781,0,368500,1,0.23,0,2.1e-06,0,0,0,28,69,1.9,25600414,0,0,0,0,27,227,482014.8125,0,0,0,0,0,11,874984,1677556,65,28,18,100,95,89,95,0
102782,0,368500,1,0.22,0,1.6e-05,0,0,0,28,69,1.8,25511532,0,0,0,0,26,59,427896.0938,0,0,0,0,0,11,874984,1677556,65,31,18,100,95,92,93,0
103779,0,368500,1,0.15,0,1.2e-05,0,0,0,28,69,1.9,25452270,0,0,0,0,26,197,487297.3125,0,0,0,0,0,11,874984,1677556,65,30,18,100,96,95,96,0
104777,0,368500,1,0.026,0,2.2e-06,0,0,0,28,69,1.9,25460604,0,0,0,0,26,0,410532.375,0,0,0,0,0,11,874984,1677556,65,29,18,100,100,95,92,0
105775,0,368500,1,-0.13,0,-1.10E-07,0,0,0,28,69,1.8,25501440,0,0,0,0,26,168,416192,0,0,0,0,0,11,875112,1677556,65,27,18,100,99,94,92,0
106773,0,368500,1,0.71,0,1.1e-05,0,0,0,28,60,1.8,11982474,0,0,0,0,25,507,239516.2813,0,0,0,0,0,11,875112,1677556,65,25,18,100,88,95,81,0
107713,0,368500,1,0.53,0,7.5e-06,0,0,0,28,69,1.8,21681976,0,0,0,0,26,274,427851.8438,0,0,0,0,0,11,875112,1677556,65,29,18,100,93,88,92,0
108712,0,368500,1,0.34,0,9e-06,0,0,0,28,69,1.9,25524832,0,0,0,0,26,351,453298.6875,0,0,0,0,0,11,875112,1677556,65,32,18,95,93,89,94,0
109710,0,368500,1,0.35,0,-6.10E-07,0,0,0,28,69,1.9,25492564,0,0,0,0,26,438,586535.1875,0,0,0,0,0,11,875112,1677556,65,29,18,100,94,88,93,0
110714,0,368500,1,0.43,0,4.2e-06,0,0,0,28,69,1.8,25269672,0,0,0,0,26,607,565430.3125,0,0,0,0,0,11,875112,1677556,65,33,18,100,92,89,95,0
111699,0,368500,1,0.19,0,4.3e-06,0,0,0,28,69,1.9,25702608,0,0,0,0,26,112,689913.0625,0,0,0,0,0,11,875112,1677556,65,37,18,100,95,95,90,0
112692,0,368500,1,0.43,0,9.8e-06,0,0,0,28,69,1.9,25422626,0,0,0,0,26,171,409766.875,0,0,0,0,0,11,875112,1677556,65,33,18,100,97,89,93,0
113676,0,368500,1,0.74,0,1.4e-05,0,0,0,28,69,1.8,25301368,0,0,0,0,26,56,477684.2188,0,0,0,0,0,11,875112,1677556,65,31,18,100,95,91,92,0
114641,0,368500,1,0.015,0,1.3e-05,0,0,0,28,60,1.9,25691934,0,0,0,0,26,0,442950.8125,0,0,0,0,0,11,875112,1677556,65,25,18,100,96,88,90,0
115635,0,368500,1,0.36,0,1e-05,0,0,0,28,69,1.8,25394332,0,0,0,0,26,115,430674.2813,0,0,0,0,0,11,875112,1677556,65,34,18,100,93,93,93,0
116629,0,368500,1,0.095,0,7.9e-06,0,0,0,28,72,1.8,25253436,0,0,0,0,27,315,456820.5,0,0,0,0,0,11,875112,1677556,65,32,18,100,96,88,90,0
117623,0,368500,1,0.33,0,8.1e-06,0,0,0,28,72,1.8,13784624,0,0,0,0,25,112,287024.375,0,0,0,0,0,11,875112,1677556,65,26,18,97,94,86,92,0
118617,0,368500,1,-0.14,0,-8.20E-06,0,0,0,28,69,1.8,25675148,0,0,0,0,26,171,359868.8438,0,0,0,0,0,11,875112,1677556,65,26,18,99,96,89,94,0
119600,0,368500,1,0.16,0,1.4e-05,0,0,0,28,69,1.8,25445870,0,0,0,0,26,0,453179.8438,0,0,0,0,0,11,875112,1677556,65,29,18,93,95,88,97,0
120599,0,368500,1,0.026,0,1.1e-05,0,0,0,28,69,1.9,25330556,0,0,0,0,26,56,504833.3438,0,0,0,0,0,11,875112,1677556,65,30,18,89,94,84,100,0
121598,0,368500,1,0.23,0,1.1e-05,0,0,0,28,69,1.8,25600470,0,0,0,0,26,209,369823.5313,0,0,0,0,0,11,875112,1677556,65,29,18,92,96,89,100,0
122595,0,368500,1,-0.014,0,2.9e-06,0,0,0,28,69,1.9,25257354,0,0,0,0,27,470,446461.5313,0,0,0,0,0,11,875112,1677556,65,27,18,94,95,92,98,0
123586,0,368500,1,0.84,0,9.2e-06,0,0,0,28,69,1.8,25686222,0,0,0,0,26,168,420222.2188,0,0,0,0,0,11,875112,1677556,65,30,18,92,95,87,100,0
124575,0,368500,1,0.19,0,-1.70E-06,0,0,0,28,69,1.9,25615530,0,0,0,0,26,283,441941.1875,0,0,0,0,0,11,875112,1677556,65,27,18,96,96,85,100,0
125569,0,368500,1,0.67,0,1.3e-05,0,0,0,28,69,1.8,25438584,0,0,0,0,26,344,364923.0625,0,0,0,0,0,11,875112,1677556,66,28,18,97,96,93,100,0
126568,0,368500,1,0.098,0,1.9e-05,0,0,0,28,69,1.8,25472182,0,0,0,0,27,1194,548121.1875,0,0,0,0,0,11,875112,1677556,66,28,18,96,96,93,100,0
127556,0,368500,1,0.32,0,2.1e-05,0,0,0,28,69,1.8,21387056,0,0,0,0,27,3,1088777.75,0,0,0,0,0,11,875112,1677556,66,28,18,98,98,99,100,0
128475,0,368500,1,0.66,0,1.9e-06,0,0,0,28,69,1.7,14712569,0,0,0,0,26,582,436304.5625,0,0,0,0,0,11,875112,1677556,66,27,18,96,99,99,100,0
129444,0,368500,1,0.21,0,5.4e-06,0,0,0,28,69,1.9,25481654,0,0,0,0,26,126,525066.6875,0,0,0,0,0,11,875112,1677556,66,31,18,95,99,98,100,0
130426,0,368500,1,0.29,0,1.1e-05,0,0,0,28,69,1.8,25429856,0,0,0,0,26,224,381391.3125,0,0,0,0,0,11,875112,1677556,66,29,18,98,99,98,100,0
131398,0,368500,1,0.093,0,2.9e-06,0,0,0,28,67,1.8,25198266,0,0,0,0,25,112,393333.3438,0,0,0,0,0,11,875112,1677556,66,26,18,95,99,94,100,0
132375,0,368500,1,-0.059,0,1.5e-05,0,0,0,28,69,1.9,25754286,0,0,0,0,26,0,447111.125,0,0,0,0,0,11,875112,1677556,66,27,18,94,95,96,100,0
133380,0,368500,1,0.6,0,1.6e-05,0,0,0,28,69,1.8,25597480,0,0,0,0,26,181,362246.5625,0,0,0,0,0,11,875112,1677556,66,30,18,100,96,96,97,0
134378,0,368500,1,0.24,0,6.5e-06,0,0,0,28,69,1.9,25465246,0,0,0,0,26,158,450360.6563,0,0,0,0,0,11,875112,1677556,66,27,18,98,99,96,96,0
135373,0,368500,1,0.25,0,5.1e-07,0,0,0,28,69,1.8,24381976,0,0,0,0,27,227,514776.4688,0,0,0,0,0,11,875112,1677556,66,33,18,99,99,100,95,0
136367,0,368500,1,0.29,0,8e-06,0,0,0,28,69,1.9,25673362,0,0,0,0,26,307,401021.2813,0,0,0,0,0,11,875112,1677556,66,30,18,95,99,100,95,0
137339,0,368500,1,0.59,0,9e-06,0,0,0,28,69,1.9,25009066,0,0,0,0,27,266,516586.6563,0,0,0,0,0,11,875112,1677556,66,31,18,97,100,100,96,0
138299,0,368500,1,0.82,0,4.6e-06,0,0,0,28,69,1.8,9068283,0,0,0,0,26,0,301522.125,0,0,0,0,0,11,875112,1677556,66,22,18,95,96,100,96,0
139298,0,368500,1,0.52,0,-5.90E-06,0,0,0,28,72,1.9,22490166,0,0,0,0,26,164,349250,0,0,0,0,0,11,875112,1677556,66,20,18,97,98,90,89,0
140296,0,368500,1,-0.14,0,1.5e-05,0,0,0,28,69,1.8,25484064,0,0,0,0,26,56,620967.75,0,0,0,0,0,11,875112,1677556,66,26,18,100,95,93,95,0
141294,0,368500,1,-0.00016,0,-3.90E-06,0,0,0,28,69,1.8,23175680,0,0,0,0,26,3508,1145680,0,0,0,0,0,11,875112,1677556,66,22,18,100,97,95,97,0
142275,0,368500,1,0.17,0,5.8e-06,0,0,0,28,69,1.8,25666626,0,0,0,0,26,516,2023938.875,0,0,0,0,0,11,875112,1677556,66,29,18,100,100,100,96,0
143271,0,368500,1,0.16,0,-1.60E-07,0,0,0,28,69,1.9,25454338,0,0,0,0,28,1092,1394400,0,0,0,0,0,11,875112,1677556,66,28,18,100,98,100,96,0
144268,0,368500,1,0.19,0,1.2e-06,0,0,0,28,69,1.8,25625414,0,0,0,0,26,495,1183238.125,0,0,0,0,0,11,875112,1677556,66,31,18,100,97,97,97,0
